term,label,domain_group,k_models,models_evaluated,min_median,max_median,grand_mean_median,min_q025,max_q975,min_p_gt_0,max_p_gt_0,consensus_direction
gend.fNonbinaryDOther,Gender: Nonbinary / Other,Demographics,18,"base, practices, dispositions, cosmopolitan, meta",-0.4061985,-0.278451,-0.3214435786111111,-0.923711625,0.24365602500000005,0.07075,0.144,Consistently Spans Zero
race.fMixedWhite,Ethnoracial: Mixed White,Ethnoracial Identification,18,"base, practices, dispositions, cosmopolitan, meta",-0.29062750000000004,-0.2029675,-0.25749278277777776,-0.498607075,8.588702000000385e-4,0.00125,0.0255,Credibly Negative (>=95%)
race.fMixedOther,Ethnoracial: Mixed Other,Ethnoracial Identification,18,"base, practices, dispositions, cosmopolitan, meta",-0.21524300000000002,-0.16359200000000002,-0.19075187944444444,-0.556322675,0.1745584250000001,0.114,0.16575,Consistently Spans Zero
gend.fWoman,Gender: Woman,Demographics,18,"base, practices, dispositions, cosmopolitan, meta",-0.19987749999999999,-0.15481699999999998,-0.17455573722222223,-0.314057325,-0.043197587499999995,0,0.0035,Credibly Negative (>=95%)
taste_authentic_c,Dispositions: Exotic / Authentic,Taste Dispositions,6,"dispositions, meta",-0.12604175833333334,-0.08451465,-0.0997700488888889,-0.19064098750000003,-0.017638854999999995,0,0.00575,Credibly Negative (>=95%)
race.fAsian,Ethnoracial: Asian,Ethnoracial Identification,18,"base, practices, dispositions, cosmopolitan, meta",-0.125353,0.004632715,-0.08122101197222223,-0.3809854,0.27073062500000006,0.147,0.51425,Consistently Spans Zero
arts_c,Childhood Arts Socialization,Cultural Capital,18,"base, practices, dispositions, cosmopolitan, meta",-0.0935583,-0.022235208333333333,-0.05265109637361111,-0.15581972,0.0490581645416667,7.5e-4,0.24475,Specification Contingent
age_c,Age,Demographics,18,"base, practices, dispositions, cosmopolitan, meta",-0.06772105,-0.0268151,-0.04842130894444444,-0.12838047499999997,0.037260005000000006,0.01625,0.20125,Specification Contingent
taste_light_c,Dispositions: Light / Fresh,Taste Dispositions,6,"dispositions, meta",-0.04506255,-0.01962533333333333,-0.031221676388888887,-0.104591675,0.04019554791666668,0.05525,0.2585,Consistently Spans Zero
peduc_c,Parental Education,Cultural Capital,18,"base, practices, dispositions, cosmopolitan, meta",-0.04374590083333334,-0.0192912,-0.030097075467175927,-0.11269227541666665,0.047702060575000045,0.116,0.273,Consistently Spans Zero
taste_rich_c,Dispositions: Rich / Hearty,Taste Dispositions,6,"dispositions, meta",-0.0457695,-0.013286,-0.02885574527777778,-0.10705844999999999,0.04963813162499999,0.05775,0.329,Consistently Spans Zero
economic_c,Economic Conservatism,Ideology,18,"base, practices, dispositions, cosmopolitan, meta",-0.04285920040833334,0.003411605,-0.021637668991203705,-0.15069479363125,0.09420451750000004,0.20025,0.5285,Consistently Spans Zero
race.fHispanic,Ethnoracial: Hispanic / Latino,Ethnoracial Identification,18,"base, practices, dispositions, cosmopolitan, meta",-0.0226879,0.027987249999999998,0.0014858268222222224,-0.26338870000000003,0.2736362,0.422,0.59075,Consistently Spans Zero
race.fBlack,Ethnoracial: Black,Ethnoracial Identification,18,"base, practices, dispositions, cosmopolitan, meta",-0.03208105,0.0663432,0.013004672694444445,-0.208677,0.24807530000000003,0.3625,0.7715,Consistently Spans Zero
income_c,Household Income,Demographics,18,"base, practices, dispositions, cosmopolitan, meta",0.00158795,0.0329182,0.019886743833333335,-0.0603054425,0.0933029075,0.51975,0.85675,Consistently Spans Zero
taste_familiar_c,Dispositions: Familiar Comfort,Taste Dispositions,6,"dispositions, meta",-0.008350505000000001,0.048635325,0.028459178055555555,-0.0655137125,0.11159985250000003,0.38425,0.94475,Consistently Spans Zero
cosmo_global_c,Global Citizen Identity,Cosmopolitan Capital,6,"cosmopolitan, meta",0.031091941666666668,0.03759015,0.0340844725,-0.03125300183333333,0.10086015000000001,0.826,0.8905,Consistently Spans Zero
fast_food_c,Fast Food Frequency,Dining & Arts Practices,6,"practices, meta",0.02675625,0.046093275,0.037631671972222225,-0.03085957,0.10500923208333333,0.8355,0.921,Consistently Spans Zero
network_diversity_c,Friendship Network Diversity,Cosmopolitan Capital,6,"cosmopolitan, meta",0.012475458333333333,0.0612802,0.044663654708333334,-0.058090963749999995,0.12570159625000002,0.64375,0.9815,Specification Contingent
educ_c,Educational Attainment,Cultural Capital,18,"base, practices, dispositions, cosmopolitan, meta",0.05267445,0.12320181666666667,0.09420916456944445,-0.016636944229166666,0.19413742916666668,0.93275,1,Specification Contingent
fancy_rest_c,Fine Dining Frequency,Dining & Arts Practices,6,"practices, meta",0.0865564,0.125178485,0.11081759152777779,0.00495475275,0.20476636916666668,0.982,1,Credibly Positive (>=95%)
highbrow_arts_c,Adult Highbrow Arts Attendance,Dining & Arts Practices,6,"practices, meta",0.10177485833333333,0.14191199999999998,0.1171405225,0.009802646249999996,0.21515905,0.98625,1,Credibly Positive (>=95%)
social_c,Social Conservatism,Ideology,18,"base, practices, dispositions, cosmopolitan, meta",0.106544,0.19262475141666668,0.14848878955555556,0.02020261,0.3055257117166667,0.991,1,Credibly Positive (>=95%)
